FoodID,RefuseID,RefuseAmount,RefuseDateOfEntry
2,750,0.0,1997-05-01
4,750,0.0,1997-05-01
5,750,0.0,1997-05-01
6,750,0.0,1997-05-01
7,750,0.0,1997-05-01
8,750,0.0,1997-05-01
9,750,0.0,1997-05-01
10,750,0.0,1997-05-01
13,750,0.0,1997-05-01
14,750,0.0,1997-05-01
16,750,0.0,1997-05-01
17,750,0.0,1997-05-01
18,750,0.0,1997-05-01
19,750,0.0,1997-05-01
20,750,0.0,1997-05-01
21,750,0.0,1997-05-01
22,750,0.0,1997-05-01
23,750,0.0,1997-05-01
24,750,0.0,1997-05-01
25,750,0.0,1997-05-01
26,750,0.0,1997-05-01
27,750,0.0,1997-05-01
28,750,0.0,1997-05-01
29,750,0.0,1997-05-01
30,750,0.0,1997-05-01
31,750,0.0,1997-05-01
32,750,0.0,1997-05-01
33,750,0.0,1997-05-01
34,750,0.0,1997-05-01
35,750,0.0,1997-05-01
37,750,0.0,1997-05-01
38,750,0.0,1997-05-01
39,750,0.0,1997-05-01
40,750,0.0,1997-05-01
41,750,0.0,1997-05-01
42,750,0.0,1997-05-01
43,750,0.0,1997-05-01
44,750,0.0,1997-05-01
45,750,0.0,1997-05-01
46,750,0.0,1997-05-01
47,750,0.0,1997-05-01
48,750,0.0,1997-05-01
51,750,0.0,1997-05-01
52,750,0.0,1997-05-01
54,750,0.0,1997-05-01
55,750,0.0,1997-05-01
56,750,0.0,1997-05-01
57,750,0.0,1997-05-01
58,750,0.0,1997-05-01
59,750,0.0,1997-05-01
60,750,0.0,1997-05-01
61,750,0.0,1997-05-01
63,750,0.0,1997-05-01
66,750,0.0,1997-05-01
67,750,0.0,1997-05-01
68,750,0.0,1997-05-01
69,750,0.0,1997-05-01
70,750,0.0,1997-05-01
71,750,0.0,1997-05-01
72,750,0.0,1997-05-01
73,750,0.0,1997-05-01
74,750,0.0,1997-05-01
75,750,0.0,1997-05-01
76,750,0.0,1997-05-01
77,750,0.0,1997-05-01
78,750,0.0,1997-05-01
79,750,0.0,1997-05-01
80,750,0.0,1997-05-01
83,750,0.0,1997-05-01
84,750,0.0,1997-05-01
85,750,0.0,1997-05-01
86,750,0.0,1997-05-01
87,750,0.0,1997-05-01
88,750,12.0,1997-05-01
89,750,13.0,1997-05-01
90,750,8.0,1997-05-01
91,750,12.0,1997-05-01
92,750,0.0,1997-05-01
93,750,0.0,1997-05-01
96,750,0.0,1997-05-01
97,750,0.0,1997-05-01
98,750,0.0,1997-05-01
100,750,0.0,1997-05-01
101,750,0.0,1997-05-01
102,750,0.0,1997-05-01
103,750,0.0,1997-05-01
104,750,0.0,1997-05-01
105,750,0.0,1997-05-01
106,750,0.0,1997-05-01
107,750,0.0,1997-05-01
108,750,0.0,1997-05-01
109,750,0.0,1997-05-01
110,750,0.0,1997-05-01
111,750,0.0,1997-05-01
112,750,0.0,1997-05-01
113,750,0.0,1997-05-01
114,750,0.0,1997-05-01
115,750,0.0,1997-05-01
116,750,0.0,1997-05-01
118,750,0.0,1997-05-01
119,750,0.0,1997-05-01
120,750,0.0,1997-05-01
122,750,0.0,1997-05-01
123,750,0.0,1997-05-01
