FoodID,FoodCode,FoodGroupID,FoodSourceID,FoodDescription,FoodDescriptionF,FoodDateOfEntry,FoodDateOfPublication,CountryCode,ScientificName
71,71,14,1,"Hot chocolate, cocoa, homemade, prepared with 2% M.F. milk","Chocolat chaud, cacao, fait maison, préparé avec lait 2% M.G.",2026-01-28,,1105.0,
72,72,1,37,"Milk, fluid, goat, whole, vitamin d and folic acid added, 3.25% M.F.","Lait, liquide, chèvre, enrichi, entier, 3.25% M.G.",2026-01-28,,1106.0,
73,73,1,0,"Milk, fluid, human (breast milk), mature","Lait, liquide, humain (lait maternel), mature, entier",2012-06-29,,1107.0,
74,74,1,0,"Milk, fluid, sheep, whole","Lait, liquide, brebis, entier",2016-02-03,,1109.0,
75,75,14,1,"Milkshake, chocolate, thick","Lait frappé, chocolat, épais",2026-01-28,,1110.0,
76,76,14,1,"Milkshake, vanilla, thick","Lait frappé, vanille, épais",2026-01-28,,1111.0,
77,77,1,0,"Whey, acid, fluid","Lactoserum, acide, liquide",2012-06-29,,1112.0,
78,78,1,0,"Whey, acid, dry","Lactoserum, acide, poudre",2012-06-29,,1113.0,
79,79,1,0,"Whey, sweet, fluid","Lactoserum, sucré, liquide",2012-06-29,,1114.0,
80,80,1,0,"Whey, sweet, dry","Lactoserum, sucré, poudre",2012-06-29,,1115.0,
83,83,1,0,"Egg, chicken, dried, whole","Oeuf, poule, déshydraté, entier",2026-01-27,,1133.0,
84,84,1,0,"Egg, chicken, dried, whole, stabilized","Oeuf, poule, déshydraté, entier, stabilisé",2012-08-30,,1134.0,
85,85,1,0,"Egg, chicken, white, pan dried, flakes","Oeuf, poule, blanc, séché, flocons",2012-08-30,,1135.0,
86,86,1,0,"Egg, chicken, white, dried, powder, glucose reduced","Oeuf, poule, blanc, déshydraté, poudre, réduit en glucose",2014-01-08,,1136.0,
87,87,1,0,"Egg, chicken, yolk, dried","Oeuf, poule, jaune, déshydraté",2026-01-27,,1137.0,
88,88,1,0,"Egg, duck, whole, fresh, raw","Oeuf, canard, entier, frais, cru",2012-06-29,,1138.0,
89,89,1,0,"Egg, goose, whole, fresh, raw","Oeuf, oie, entier, frais, cru",2012-06-29,,1139.0,
90,90,1,0,"Egg, quail, whole, fresh, raw","Oeuf, caille, entier, frais, cru",2012-06-29,,1140.0,
91,91,1,0,"Egg, turkey, whole, fresh, raw","Oeuf, dinde, entier, frais, cru",2012-06-29,,1141.0,Meleagris gallopavo
92,92,1,0,"Butter, unsalted","Beurre, sans sel",2026-01-28,,1145.0,
93,93,1,0,"Cheese, parmesan, shredded","Fromage parmesan, râpé en filaments",2012-07-24,,1146.0,
96,96,1,0,"Cheese, goat, hard, (less than 35% water, 36% M.F.)","Fromage de chèvre, pâte dure, (moins de 35% eau, 36% M.G.)",2012-07-24,,1156.0,
97,97,1,0,"Cheese, goat, semi-soft, (35% to 55% water, 30% M.F.)","Fromage de chèvre, pâte demi-ferme, (35% à 55% eau, 30% M.G.)",2012-07-24,,1157.0,
98,98,1,37,"Cheese, goat, soft, (more than 55% water, 24% M.F.)","Fromage de chèvre, pâte ferme, (plus de 55% eau, 24% M.G.)",2026-01-28,,1159.0,
100,100,1,37,"Cheese fondue, swiss/emmental/gruyere, ready-to-serve","Fondue au fromage, suisse/emmental/gruyère, prête-à-servir",2026-01-28,,1163.0,
101,101,1,0,"Cheese sauce, homemade","Fromage, sauce, faite maison",2012-07-24,,1164.0,
102,102,1,0,"Cheese, Mexican, queso anejo","Fromage mexicain, queso anejo",2012-07-24,,1165.0,
103,103,1,0,"Cheese, Mexican, queso asadero","Fromage mexicain, queso asadero",2026-01-27,,1166.0,
104,104,1,0,"Cheese, Mexican, queso chihuahua","Fromage mexicain, queso chihuahua",2026-01-28,,1167.0,
105,105,1,37,"Cheese, low fat (4% M.F.)",Fromage faible en gras (4% M.G.),2026-01-28,,1168.0,
106,106,1,0,"Cheese, cheddar or colby type, low sodium","Fromage, type cheddar ou colby, faible en sodium",2012-07-24,,1169.0,
