FoodID,FoodCode,FoodGroupID,FoodSourceID,FoodDescription,FoodDescriptionF,FoodDateOfEntry,FoodDateOfPublication,CountryCode,ScientificName
2401,2401,11,3,"Onion, raw","Oignon, cru",2012-07-11,,11282.0,Allium cepa
2402,2402,11,3,"Onion, boiled, drained","Oignon, bouilli, égoutté",2012-07-11,,11283.0,
2403,2403,11,3,"Onion rings, breaded, par-fried, frozen, unprepared","Oignons en rondelles, panés, pré-frits, congelés, non préparés",2026-01-28,,11295.0,
2404,2404,11,3,"Onion rings, breaded, par fried, frozen, heated in oven","Oignons en rondelles, panés, pré-frits, congelés, chauffés au four",2026-01-28,,11296.0,
2405,2405,11,3,"Parsley, fresh","Persil, frais",2012-06-21,,11297.0,Petroselinum crispum
2406,2406,11,3,"Parsnip, raw","Panais, cru",2012-07-11,,11298.0,Pastinaca sativa
2407,2407,11,3,"Parsnip, boiled, drained","Panais, bouilli, égoutté",2012-07-11,,11299.0,
2408,2408,11,3,"Peas, edible-podded (snow peas), raw","Pois mange-tout, crus",2012-07-11,,11300.0,Pisum sativum
2409,2409,11,3,"Peas, green, raw","Pois, petits (verts), crus",2012-07-11,,11304.0,Pisum sativum
2410,2410,11,3,"Peas, green, boiled, drained","Pois, petits (verts), bouillis, égouttés",2012-07-11,,11305.0,
2411,2411,11,3,"Peas, green, canned, drained solids","Pois, petits (verts), conserve, solides égouttés",2012-07-11,,11308.0,
2412,2412,11,3,"Peas, green, frozen, boiled, drained","Pois, petits (verts), congelés, bouillis, égouttés",2012-07-11,,11313.0,
2413,2413,11,3,"Pepper, sweet, green, raw","Poivron vert, cru",2012-07-11,,11333.0,Capsicum annuum
2414,2414,11,3,"Pepper, sweet, green, boiled, drained","Poivron vert, bouilli, égoutté",2012-07-11,,11334.0,
2415,2415,11,3,"Pepper, sweet, green, frozen, chopped, unprepared","Poivron vert, congelé, haché, non préparé",2012-07-11,,11337.0,
2416,2416,11,3,"Pepper, sweet, green, frozen, chopped, boiled, drained","Poivron vert, congelé, haché, bouilli, égoutté",2012-07-11,,11338.0,
2417,2417,11,11,"Potato, flesh, raw","Pomme de terre, chair, crue",2026-01-28,,,Solanum tuberosum
2418,2418,11,3,"Potato, skin, raw","Pomme de terre, pelure, crue",2026-01-28,,11362.0,Solanum tuberosum
2419,2419,11,3,"Potato, flesh, baked","Pomme de terre, chair, cuite au four",2026-01-28,,11363.0,
2420,2420,11,3,"Potato, skin, baked","Pomme de terre, pelure, cuite au four",2026-01-28,,11364.0,
2421,2421,11,3,"Potato, boiled with skin, flesh","Pomme de terre, bouillie avec la pelure, chair",2026-01-28,,11365.0,
2422,2422,11,3,"Potato, boiled without skin, flesh","Pomme de terre, bouillie sans pelure, chair",2026-01-28,,11367.0,
2423,2423,11,3,"Potato, flesh, cooked in skin, microwaved","Pomme de terre, chair, cuite au four à micro-ondes avec la pelure",2026-01-28,,11368.0,
2424,2424,11,3,"Potato, skin, cooked in skin, microwaved","Pomme de terre, pelure, cuite au four à micro-ondes avec la pelure",2026-01-28,,11369.0,
2425,2425,11,3,"Potato, canned, drained solids","Pomme de terre, conserve, solides égouttés",2026-01-28,,11376.0,
2426,2426,11,3,"Potato, mashed, flakes without milk, dry","Pomme de terre, purée, flocons sans lait, sec",2026-01-28,,11378.0,
2427,2427,11,3,"Potato, mashed, prepared from flakes without milk, whole milk and butter added","Pomme de terre, purée, préparée à partir de flocons sans lait, lait entier et beurre ajoutés",2026-01-28,,11379.0,
2428,2428,11,3,"Potato, scalloped, dry mix, unprepared","Pomme de terre, en escalopes, mélange sec, non préparé",2026-01-28,,11386.0,
2429,2429,11,3,"Potato, scalloped, dry mix, prepared with water, whole milk and butter","Pomme de terre, en escalopes, mélange sec, préparé avec eau, lait entier et beurre",2026-01-28,,11387.0,
2430,2430,11,3,"Potato, hashed brown, frozen, plain, unprepared","Pomme de terre, rissolée, congelée, non préparée",2026-01-28,,11390.0,
2431,2431,11,3,"Potato, hashed brown, frozen, plain, prepared","Pomme de terre, rissolée, congelée, nature, préparée",2026-01-28,,11391.0,
2432,2432,11,3,"Potato puff, frozen, unprepared","Pomme de terre, soufflée, congelée, non préparée",2026-01-28,,11398.0,
2433,2433,11,3,"Potato puff, frozen, prepared","Pomme de terre, soufflée, congelée, préparée",2026-01-28,,11399.0,
2434,2434,11,3,"Potato, french-fried, frozen, unprepared","Pomme de terre, frite, congelée, non préparée",2026-01-28,,11402.0,
2435,2435,11,3,"Potato, french-fried, frozen, all types, salt added in processing, home-prepared, heated in oven","Pomme de terre, frite, congelée, tous les types, sel ajouté lors de la transformation, réchauffée au four",2026-01-28,,11403.0,
2436,2436,11,10,"Potato, french-fried, frozen, restaurant prepared, fried in vegetable oil","Pomme de terre, frite, congelée, préparée au restaurant avec de l'huile végétale",2026-01-28,,,
2437,2437,11,3,"Potato, french-fried, frozen, cottage cut, salt not added in processing, unprepared","Pomme de terre, frite, congelée, coupe cottage, sans sel ajouté lors de la transformation, non préparée",2026-01-28,,11406.0,
2438,2438,11,3,"Potato, french-fried, frozen, cottage cut, salt not added in processing, heated in oven","Pomme de terre, frite, congelée, coupe cottage, sel non ajouté lors de la transformation, réchauffée au four",2026-01-28,,11407.0,
2439,2439,11,3,"Potato, french-fried, frozen, extruded, heated in oven","Pomme de terre, frite, congelée, extrudée, réchauffée au four",2026-01-28,,11409.0,
2440,2440,11,3,Potato flour,"Pomme de terre, farine",2026-01-28,,11413.0,
2441,2441,11,3,"Pumpkin, raw","Citrouille, crue",2012-07-11,,11422.0,Cucurbita spp.
2442,2442,11,3,"Pumpkin, boiled, drained","Citrouille, bouillie, égouttée",2012-07-11,,11423.0,
2443,2443,11,3,"Radish, raw","Radis, cru",2012-07-11,,11429.0,Raphanus sativus
2444,2444,11,3,"Rutabaga (swede), raw","Rutabaga (chou-navet), cru",2026-01-28,,11435.0,Brassica napus (Napobrassica Group)
2445,2445,11,3,"Rutabaga (swede), boiled, drained","Rutabaga (chou-navet), bouilli, égoutté",2026-01-28,,11436.0,
2447,2447,11,3,"Spinach, canned, drained solids","Épinard, conserve, égoutté",2012-07-11,,11461.0,
2448,2448,11,3,"Squash, winter, acorn, raw","Courge d'hiver, courge poivrée (courgeon), crue",2012-07-11,,11482.0,Cucurbita maxima
2449,2449,11,3,"Squash, winter, acorn, baked","Courge d'hiver, courge poivrée (courgeon), cuite au four",2012-07-11,,11483.0,
2450,2450,11,3,"Squash, winter, acorn, boiled, mashed","Courge d'hiver, courge poivrée (courgeon), bouillie, en purée",2012-07-11,,11484.0,
2451,2451,11,3,"Squash, winter, butternut, raw","Courge d'hiver, courge musquée, crue",2012-07-11,,11485.0,Cucurbita moschata
2452,2452,11,3,"Squash, winter, butternut, baked","Courge d'hiver, courge musquée, cuite au four",2012-07-11,,11486.0,
2453,2453,11,3,"Squash, winter, butternut, frozen, unprepared","Courge d'hiver, courge musquée, congelée, non préparée",2012-07-11,,11487.0,
2454,2454,11,3,"Squash, winter, butternut, frozen, boiled","Courge d'hiver, courge musquée, congelée, bouillie",2012-07-11,,11488.0,
2455,2455,11,3,"Squash, winter, hubbard, raw","Courge d'hiver, hubbard, crue",2012-07-11,,11489.0,Cucurbita maxima
2456,2456,11,3,"Squash, winter, hubbard, baked","Courge d'hiver, hubbard, cuite au four",2012-07-11,,11490.0,
2457,2457,11,3,"Squash, winter, hubbard, boiled, mashed","Courge d'hiver, hubbard, bouillie, en purée",2012-07-11,,11491.0,
2458,2458,11,3,"Squash, winter, spaghetti, raw","Courge d'hiver, spaghetti, crue",2026-01-28,,11492.0,Cucurbita spp.
2459,2459,11,3,"Squash, winter, spaghetti, baked or boiled, drained","Courge d'hiver, spaghetti, au four ou bouillie, égouttée",2012-10-04,,11493.0,
2460,2460,11,3,"Tomato, red, ripe, raw, year round average","Tomate, rouge, mûre, crue, moyenne durant toute l'année",2012-07-11,,11529.0,Solanum lycopersicum
2461,2461,11,3,"Tomato, red, ripe, boiled","Tomate, rouge, mûre, bouillie",2012-07-11,,11530.0,
2462,2462,11,3,"Tomato, red, ripe, canned, whole","Tomate, rouge, mûre, conserve, entière",2012-07-11,,11531.0,
2463,2463,11,3,"Tomato, red, ripe, canned, stewed","Tomate, rouge, mûre, conserve, étuvée",2012-07-11,,11533.0,
2464,2464,11,3,"Juice, tomato, canned","Jus, tomates, conserve",2026-01-28,,11540.0,
2465,2465,11,3,"Tomato products, canned, sauce","Produits à base de tomates, conserve, sauce",2014-01-09,,11549.0,
2466,2466,11,3,"Tomato products, canned, sauce with mushrooms","Produits à base de tomates, conserve, sauce avec champignons",2014-01-09,,11551.0,
2467,2467,11,3,"Tomato products, canned, sauce with herbs and cheese","Produits à base de tomates, conserve, sauce avec fines herbes et fromage",2014-01-09,,11555.0,
2468,2468,11,3,"Tomato products, canned, sauce with onions, green peppers and celery","Produits à base de tomates, conserve, sauce avec oignons, poivrons verts et céleri",2026-01-28,,11557.0,
2469,2469,11,3,"Tomato products, canned, sauce with tomato tidbits","Produits à base de tomates, conserve, sauce avec morceaux de tomates",2014-01-09,,11559.0,
2470,2470,11,3,"Turnip, raw","Navet, cru",2012-07-11,,11564.0,Brassica rapa (Rapifera Group)
2471,2471,11,3,"Turnip, frozen, unprepared","Navet, congelé, non préparé",2012-07-11,,11566.0,
2472,2472,11,3,"Turnip, frozen, boiled, drained","Navet, congelé, bouilli, égoutté",2012-07-11,,11567.0,
2473,2473,11,3,"Vegetable juice cocktail, canned","Légumes, jus, cocktail, conserve",2012-07-11,,11578.0,
2474,2474,11,3,"Vegetables, mixed, canned, drained solids","Légumes, macédoine, conserve, solides égouttés",2026-01-28,,11581.0,
2475,2475,11,3,"Beets, harvard, canned, solids and liquid","Betteraves, harvard, conserve, solides et liquide",2026-01-28,,11605.0,
2476,2476,11,3,"Beets, pickled, canned, solids and liquid","Betteraves, marinées, conserve, solides et liquide",2026-01-28,,11609.0,
2477,2477,11,3,"Pepper, jalapeno, canned, solids and liquid","Piment jalapeno, conserve, solides et liquide",2012-10-04,,11632.0,
2478,2478,11,3,"Potato, flesh and skin, baked","Pomme de terre, chair et pelure, cuite au four",2026-01-28,,11674.0,
2479,2479,11,3,"Potato, flesh and skin, cooked in skin, microwaved","Pomme de terre, chair et pelure, cuite au four à micro-ondes avec la pelure",2026-01-28,,11675.0,
2480,2480,11,3,"Broccoli, boiled, drained, with salt","Brocoli, bouilli, égoutté, sel ajouté",2012-07-11,,11742.0,
2481,2481,11,3,"Celery, boiled, drained, with salt","Céleri, bouilli, égoutté, sel ajouté",2012-07-11,,11764.0,
2482,2482,11,3,"Corn, sweet, yellow, frozen, kernels cut off the cob, boiled, drained, with salt","Maïs sucré, jaune, congelé, en grains, bouilli, égoutté, sel ajouté",2012-07-11,,11774.0,
2483,2483,11,3,"Onion, boiled, drained, with salt","Oignon, bouilli, égoutté, sel ajouté",2012-07-11,,11805.0,
2484,2484,11,3,"Pepper, sweet, red, raw","Poivron rouge, cru",2026-01-28,,11821.0,Capsicum annuum
2485,2485,11,3,"Pepper, sweet, green, boiled, drained, with salt","Poivron vert, bouilli, égoutté, sel ajouté",2012-07-11,,11822.0,
2486,2486,11,3,"Pepper, sweet, red, boiled, drained","Poivron rouge, bouilli, égoutté",2012-10-04,,11823.0,
2487,2487,11,3,"Pepper, sweet, red, boiled, drained, with salt","Poivron rouge, bouilli, égoutté, sel ajouté",2012-10-04,,11824.0,
2490,2490,11,3,"Tomato, red, ripe, boiled, with salt","Tomate, rouge, mûre, bouillie, sel ajouté",2012-07-11,,11884.0,
2491,2491,11,3,"Corn, sweet, white, frozen, kernels off cob, unprepared","Maïs sucré, blanc, congelé, grains, non préparé",2012-07-11,,11910.0,
2492,2492,11,3,"Corn, sweet, white, frozen, kernels off cob, boiled, drained","Maïs sucré, blanc, congelé, grains, bouilli, égoutté",2012-07-11,,11911.0,
2493,2493,11,3,"Corn, sweet, white, frozen, kernels off cob, boiled, drained, with salt","Maïs sucré, blanc, congelé, grains, bouilli, égoutté, sel ajouté",2012-07-11,,11912.0,
2494,2494,11,3,Tomato ketchup (catsup),"Tomates, ketchup (catsup)",2012-09-07,,11935.0,
2495,2495,11,3,"Pickles, cucumber, dill (includes Kosher and Polish)","Marinades, cornichons à l'aneth (inclus Cacher et Polonais)",2012-07-03,,11937.0,
2496,2496,11,3,"Pimento, canned","Piments de la Jamaïque, conserve",2012-07-11,,11943.0,
2497,2497,11,3,"Pickles, cucumber, dill, low sodium","Marinades, cornichons à l'aneth, faible en sodium",2012-07-03,,11947.0,
2498,2498,11,3,"Tomato ketchup (catsup), low sodium","Tomates, ketchup (catsup), faible en sodium",2012-09-07,,11949.0,
2499,2499,11,24,"Seaweed, dulse (laver, nori), dried","Algue, dulse (rhodymemie palme, porphyre, nori), séchée",2012-06-25,,,
2500,2500,11,3,"Beets, raw","Betteraves, crues",2012-07-11,,11080.0,Beta vulgaris
2501,2501,11,3,"Beets, boiled, drained","Betteraves, bouillies, égouttées",2012-07-11,,11081.0,
2502,2502,11,3,"Fiddlehead greens (ferns), frozen, unprepared","Crosses de fougères (têtes de violon), congelées, non préparées",2026-01-28,,11996.0,
2505,2505,11,0,"Potato, flesh and skin, raw","Pomme de terre, chair et pelure, crue",2026-01-28,,11352.0,Solanum tuberosum
2506,2506,11,24,"Potato, boiled, flesh and skin","Pomme de terre, bouille, chair et pelure",2026-01-28,,,
2507,2507,12,0,"Seeds, breadfruit seeds, raw","Graines, fruits à pain, graines, crues",2026-01-28,,12001.0,Artocarpus altilis
2508,2508,12,0,"Seeds, breadfruit seeds, boiled","Graines, fruits à pain, graines, bouillies",2026-01-28,,12003.0,
2509,2509,12,0,"Seeds, breadnuttree seeds, raw","Graines, noix-pain (brosimum dicastrum), graines, crues",2026-01-28,,12004.0,Brosimum alicastrum
2510,2510,12,0,"Seeds, breadnuttree seeds, dried","Graines, noix-pain (brosimum alicastrum), graines, déshydratées",2026-01-28,,12005.0,
2511,2511,12,0,"Seeds, chia seeds, dried","Graines de chia, déshydratées",2012-06-19,,12006.0,Salvia hispanica
2512,2512,12,0,"Seeds, cottonseed flour, partially defatted","Graines, farine de graines de coton, partiellement dégraissées",2012-06-19,,12007.0,
2513,2513,12,0,"Seeds, cottonseed flour, low fat","Graines, farine de graines de coton, faible en gras",2026-01-28,,12008.0,
2514,2514,12,0,"Seeds, cottonseed meal, partially defatted","Graines, semoule de graines de coton, partiellement dégraissées",2012-06-19,,12011.0,
2515,2515,12,0,"Seeds, lotus seeds, dried","Graines, lotus, graines, déshydratées",2012-06-19,,12013.0,
2516,2516,12,0,"Seeds, pumpkin and squash seed kernels, dried","Graines, citrouille et courge, graines, déshydratées",2012-06-19,,12014.0,
2517,2517,12,0,"Seeds, pumpkin and squash seed kernels, roasted","Graines, citrouille et courge, graines, rôties",2012-06-19,,12016.0,
2518,2518,12,0,"Seeds, safflower seed kernels, dried","Graines, carthame, graines, déshydratées",2012-06-19,,12021.0,Carthamus tinctorius
2519,2519,12,0,"Seeds, safflower seed meal, partially defatted","Graines, semoule de graines de carthame, partiellement dégraissée",2026-01-28,,12022.0,
2521,2521,12,0,"Seeds, sesame seeds, whole, roasted and toasted","Graines, sésame, graines, entières, rôties et grillées",2012-06-19,,12024.0,
2522,2522,12,0,"Seeds, sesame seed kernels, toasted, shelled","Graines, sésame, graines, grillées, décortiquées",2012-06-19,,12029.0,
2523,2523,12,0,"Seeds, sesame flour, partially defatted","Graines, farine de sésame, partiellement dégraissées",2012-06-20,,12032.0,
2524,2524,12,0,"Seeds, sesame flour, low fat","Graines, farine de sésame, faible en gras",2026-01-28,,12033.0,
2525,2525,12,0,"Seeds, sesame meal, partially defatted","Graines, semoule de sésame, partiellement dégraissées",2012-06-19,,12034.0,
2526,2526,12,0,"Seeds, sunflower seed kernels, dried","Graines, tournesol, graines, déshydratées",2012-06-19,,12036.0,Helianthus annuus
2527,2527,12,0,"Seeds, sunflower seed kernels, dry roasted","Graines, tournesol, graines, rôties à sec",2012-06-19,,12037.0,
2528,2528,12,0,"Seeds, sunflower seed kernels, toasted","Graines, tournesol, graines, grillées",2012-06-19,,12039.0,
2529,2529,12,0,"Seeds, sunflower seed butter","Graines, beurre de tournesol",2012-06-19,,12040.0,
2530,2530,12,0,"Seeds, sunflower seed flour, partially defatted","Graines, tournesol, farine, partiellement dégraissée",2012-06-20,,12041.0,
2531,2531,12,0,"Nuts, acorns, raw","Noix, glands, crus",2026-01-28,,12058.0,Quercus spp.
2532,2532,12,0,"Nuts, acorns, dried","Noix, glands, séchés",2026-01-28,,12059.0,
2533,2533,12,0,"Nuts, acorn flour, full-fat","Noix, farine de glands, non dégraissée",2026-01-28,,12060.0,
2534,2534,12,0,"Nuts, almonds, dried, unblanched, unroasted","Noix, amandes, séchées, non blanchies, non rôties",2012-06-19,,12061.0,Prunus dulcis
2535,2535,12,0,"Nuts, almonds, dried, blanched, unroasted","Noix, amandes, séchées, blanchies, non rôties",2012-06-19,,12062.0,
2536,2536,12,0,"Nuts, almonds, dry roasted, unblanched","Noix, amandes, rôties à sec, non blanchies",2012-06-19,,12063.0,
2537,2537,12,0,"Nuts, almonds, oil roasted, unblanched","Noix, amandes, rôties dans l'huile, non blanchies",2026-01-28,,12065.0,
2538,2538,12,11,"Nuts, almonds, oil roasted, blanched","Noix, amandes, rôties dans l'huile, blanchies",2012-06-27,,,
2539,2539,12,11,"Nuts, almonds, toasted, unblanched","Noix, amandes, grillées, non blanchies",2012-06-19,,,
2540,2540,12,0,"Nuts, almond paste, sweetened","Noix, pâte d'amandes, sucrée",2026-01-28,,12071.0,
2543,2543,12,0,"Nuts, beechnuts, dried","Noix, faines, séchées",2012-06-19,,12077.0,Fagus spp.
2544,2544,12,0,"Nuts, brazilnuts, dried, unblanched","Noix, noix de Brésil, séchées, non blanchies",2012-06-19,,12078.0,Bertholletia excelsa
2545,2545,12,0,"Nuts, butternuts (long walnuts), dried","Noix, noix longues (noix cendres), séchées",2012-06-19,,12084.0,Juglans cinerea
2546,2546,12,0,"Nuts, cashew nuts, dry roasted","Noix, noix de cajou (acajous, anacardes), rôties à sec",2026-01-28,,12085.0,Anacardium occidentale
2547,2547,12,0,"Nuts, cashew nuts, oil roasted","Noix, noix de cajou (acajous, anacardes), rôties dans l'huile",2026-01-28,,12086.0,
2548,2548,12,0,"Nuts, cashew butter, plain","Noix, beurre de noix de cajou (acajous, anacardes), nature",2026-01-28,,12088.0,
2549,2549,12,0,"Nuts, Chinese chestnuts, raw","Noix, châtaignes chinoises, crues",2012-06-19,,12093.0,Castanea mollissima
2550,2550,12,0,"Nuts, Chinese chestnuts, dried","Noix, châtaignes chinoises, séchées",2012-06-19,,12094.0,
2551,2551,12,0,"Nuts, Chinese chestnuts, boiled and steamed","Noix, châtaignes chinoises, bouillies et cuites à la vapeur",2012-06-19,,12095.0,
2552,2552,12,0,"Nuts, Chinese chestnuts, roasted","Noix, châtaignes chinoises, rôties",2012-06-19,,12096.0,
2553,2553,12,0,"Nuts, European chestnuts (sweet), raw, unpeeled","Noix, châtaignes d'Europe (marrons), crues, avec l'écorce",2012-06-19,,12097.0,Castanea sativa
2554,2554,12,0,"Nuts, European chestnuts (sweet), raw, peeled","Noix, châtaignes d'Europe (marrons), crues, décortiquées",2012-06-19,,12098.0,
2555,2555,12,0,"Nuts, European chestnuts (sweet), dried, unpeeled","Noix, châtaignes d'Europe (marrons), séchées, avec l'écorce",2012-06-19,,12099.0,
2556,2556,12,0,"Nuts, European chestnuts (sweet), dried, peeled","Noix, châtaignes d'Europe (marrons), séchées, décortiquées",2012-06-19,,12100.0,
2557,2557,12,0,"Nuts, European chestnuts (sweet), boiled and steamed","Noix, châtaignes d'Europe (marrons), bouillies et cuites à la vapeur",2012-06-19,,12101.0,
2558,2558,12,0,"Coconut meat, raw","Noix de coco, crue",2026-01-28,,12104.0,Cocos nucifera
2559,2559,12,0,"Coconut meat, desiccated, unsweetened","Noix de coco, désséchée, non sucrée",2026-01-28,,12108.0,
2560,2560,12,0,"Coconut meat, desiccated, sweetened, flaked, packaged","Noix de coco, désséchée, sucrée, flocons, empaquetée",2026-01-28,,12109.0,
2561,2561,12,0,"Coconut meat, desiccated, sweetened, flaked, canned","Noix de coco, désséchée, sucrée, flocons, conserve",2026-01-28,,12110.0,
2562,2562,12,0,"Coconut meat, desiccated, toasted","Noix de coco, désséchée, grillée",2026-01-28,,12114.0,
2563,2563,12,0,"Coconut cream (liquid from grated meat), raw","Noix de coco, crème (liquide de la noix râpée), crue",2026-01-28,,12115.0,
2564,2564,12,0,"Coconut cream (liquid from grated meat), sweetened, canned","Noix de coco, crème (liquide de la noix râpée), sucrée, conserve",2026-01-28,,12116.0,
2565,2565,12,0,"Coconut milk (liquid from grated meat and water), canned","Noix de coco, lait (liquide de la noix râpée et eau), conserve",2026-01-28,,12118.0,
2566,2566,12,0,Coconut water (liquid from coconut),"Noix de coco, eau (liquide de la noix)",2026-01-28,,12119.0,
2567,2567,12,0,"Nuts, filberts or hazelnuts, dried","Noix, noisettes, avelines ou coudres, séchées",2013-01-17,,12120.0,Corylus spp.
2568,2568,12,0,"Nuts, filberts or hazelnuts, dried, blanched","Noix, noisettes, avelines ou coudres, séchées, blanchies",2012-06-19,,12121.0,
2569,2569,12,0,"Nuts, filberts or hazelnuts, dry roasted, unblanched","Noix, noisettes, avelines ou coudres, rôties à sec, non blanchies",2012-06-19,,12122.0,
2571,2571,12,0,"Nuts, ginkgo nuts, raw","Noix, fruits de ginkgo, crues",2012-06-19,,12127.0,Ginko biloba
2572,2572,12,0,"Nuts, ginkgo nuts, dried","Noix, fruits de ginkgo, séchées",2012-06-19,,12128.0,
2573,2573,12,0,"Nuts, ginkgo nuts, canned","Noix, fruits de ginkgo, conserve",2012-06-19,,12129.0,
2574,2574,12,0,"Nuts, hickory nuts, dried","Noix, noix de caryers, séchées",2012-06-19,,12130.0,Carya spp.
2575,2575,12,0,"Nuts, macadamia (bushnuts, queensland), raw","Noix, macadamia (queensland), crues",2012-06-19,,12131.0,"Macadamia integrifolia, M. tetraphylla"
2576,2576,12,11,"Nuts, macadamia (bushnuts, queensland), oil roasted","Noix, macadamia (queensland), rôties dans l'huile",2012-06-27,,,
2577,2577,12,0,"Nuts, mixed nuts, dry roasted with peanuts","Noix, noix mélangées, rôties à sec avec arachides",2012-06-21,,12135.0,
2578,2578,12,0,"Nuts, mixed nuts, oil roasted with peanuts","Noix, noix mélangées, rôties dans l'huile avec arachides",2012-06-21,,12137.0,
2579,2579,12,0,"Nuts, mixed nuts, oil roasted without peanuts","Noix, noix mélangées, rôties dans l'huile sans arachides",2012-06-27,,12138.0,
2580,2580,16,0,"Soybean kernels, roasted, unsalted","Soya, graines, rôties, sans sel",2026-01-28,,16410.0,
2581,2581,12,0,"Nuts, simulated product, wheat-based, unflavoured, with salt","Noix, simili produit, base de blé, nature, sel ajouté",2013-03-21,,12140.0,
2582,2582,12,0,"Nuts, pecans, dried","Noix, pacanes, séchées",2012-06-19,,12142.0,Carya illinoensis
2583,2583,12,0,"Nuts, pecans, dry roasted","Noix, pacanes, rôties à sec",2012-06-19,,12143.0,
2584,2584,12,0,"Nuts, pecans, oil roasted","Noix, pacanes, rôties dans l'huile",2026-01-28,,12144.0,
2585,2585,12,0,"Nuts, pilinuts-canarytree, dried","Noix, fruits de canarium, séchées",2012-06-19,,12145.0,Canarium ovatum
2586,2586,12,0,"Nuts, pine nuts, pignolia, dried","Noix, noix de pins, pignons (pignes), séchées",2016-05-10,,12147.0,Includes pinus pinea and pinus koraiensis
2587,2587,12,0,"Nuts, pine nuts, pinyon, dried","Noix, noix de pinus edulis, séchées",2012-06-19,,12149.0,Pinus edulis
2588,2588,12,0,"Nuts, pistachio nuts, dry roasted","Noix, pistaches, rôties à sec",2026-01-28,,12152.0,
2589,2589,12,0,"Nuts, walnuts, black, dried","Noix, noix de noyer noir, séchées",2012-06-19,,12154.0,Juglans nigra
2590,2590,12,0,"Nuts, walnuts, English or Persian",Noix de Grenoble,2017-03-20,,12155.0,Juglans regia
2591,2591,12,0,"Seeds, breadfruit seeds, roasted","Graines, fruits à pain, graines, rôties",2026-01-28,,12158.0,
2592,2592,12,0,"Seeds, cottonseed kernels, roasted","Graines, graines de coton, rôties",2026-01-28,,12160.0,Gossypium spp.
2593,2593,12,0,"Seeds, sesame butter, tahini, roasted and toasted kernels","Graines, beurre de sésame, tahini, graines rôties et grillées",2012-06-19,,12166.0,
2594,2594,12,0,"Nuts, European chestnuts (sweet), roasted","Noix, châtaignes d'Europe (marrons), rôties",2012-06-19,,12167.0,
2596,2596,12,0,"Seeds, sesame butter, from whole seed, paste","Graines, beurre de sésame, de graines entières, pâte",2012-06-19,,12169.0,
2597,2597,12,0,"Seeds, sesame flour, high-fat","Graines, farine de sésame, élevée en gras",2012-06-19,,12170.0,
2598,2598,12,0,"Seeds, sesame butter, tahini, unroasted kernels","Graines, beurre de sésame, tahini, graines non rôties",2012-06-19,,12171.0,
2599,2599,12,0,"Seeds, watermelon seed kernels, dried","Graines, melon d'eau (pastèque), graines, déshydratées",2012-06-19,,12174.0,Citrullus lanatus
2600,2600,12,0,"Nuts, Japanese chestnuts, dried","Noix, châtaignes japonaises, séchées",2012-06-19,,12175.0,
2601,2601,12,0,"Coconut milk (liquid from grated meat and water), frozen","Noix de coco, lait (liquide de la noix râpée et eau), congelé",2026-01-28,,12176.0,
2602,2602,12,0,"Coconut meat, desiccated, creamed","Noix de coco, désséchées, en crème",2026-01-28,,12177.0,
2603,2603,12,0,"Coconut meat, desiccated, sweetened, shredded","Noix de coco, désséchée, sucrée, filamentée",2026-01-28,,12179.0,
2604,2604,12,0,"Seeds, sisymbrium sp. seeds, whole, dried","Graines, sisymbrium sp., graines, entières, déshydratées",2012-06-19,,12193.0,Sisymbrium spp.
2605,2605,12,0,"Nuts, almond butter, plain","Noix, beurre d'amandes, nature",2012-06-19,,12195.0,
2607,2607,12,11,"Nuts, almond meal, partially defatted","Noix, semoule d'amandes, partiellement dégraissée",2012-06-19,,,
2608,2608,12,0,"Seeds, sesame butter, tahini, from raw and stone ground kernels","Graines, beurre de sésame, tahini, graines crues et moulues à la pierre",2012-06-19,,12198.0,
2610,2610,12,0,"Nuts, simulated product, wheat-based, all flavours except macadamia, without salt","Noix, simili produit, base de blé, toutes les saveurs sauf macadamia, sans sel",2013-03-21,,12200.0,
2611,2611,12,0,"Seeds, sesame seed kernels, dried, shelled","Graines, sésame, graines, déshydratées, décortiquées",2012-06-19,,12201.0,
2612,2612,12,0,"Nuts, Japanese chestnuts, raw","Noix, châtaignes japonaises, crues",2012-06-19,,12202.0,Castanea crenata
2613,2613,12,0,"Nuts, Japanese chestnuts, boiled and steamed","Noix, châtaignes japonaises, bouillies et cuites à la vapeur",2012-06-19,,12203.0,
2614,2614,12,0,"Nuts, Japanese chestnuts, roasted","Noix, châtaignes japonaises, rôties",2012-06-19,,12204.0,
2615,2615,12,0,"Seeds, lotus seeds, raw","Graines, lotus, graines, crues",2012-06-19,,12205.0,Nelumbo spp.
2616,2616,12,0,"Nuts, almonds, honey roasted, unblanched, salt added","Noix, amandes, rôties au miel, non blanchies, sel ajouté",2019-01-14,,12206.0,
2617,2617,12,0,"Nuts, mixed nuts, dry roasted with peanuts, salt added","Noix, noix mélangées, rôties à sec avec arachides, sel ajouté",2016-08-10,,12635.0,
2618,2618,12,0,"Nuts, mixed nuts, oil roasted with peanuts, salt added","Noix, noix mélangées, rôties dans l'huile avec arachides, sel ajouté",2012-06-21,,12637.0,
2619,2619,12,0,"Seeds, pumpkin and squash seed kernels, roasted, salt added","Graines, citrouille et courge, graines, rôties, sel ajouté",2012-06-19,,12516.0,
