Food-Group-Name,Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
LUNCHEON MEATS (CANNED & COLD CUTS),32,Male,14-18 Years,900,29.51087054,19.86713338,2.478625698,F,F,69.99989472,7.872827107,114.2464003,16.19735707,0.289201018,0.037839988,F,F,1.060587794,0.122030862,1.578017335,0.173455269,67.32140739,7.330564616,54.55375462,7.706808837,140.0543831,18.95148257,196.27 E,42.77888564,0.979981316,0.112487109,0.711804819,0.110958269,2.122354512,0.226493288,2.88 E,0.611381609
LUNCHEON MEATS (CANNED & COLD CUTS),32,Male,19-30 Years,857,31.64771464,15.75134726,2.202152435,F,F,60,8.427970946,85.67183656,12.32709162,0.198082098,0.028269352,F,F,0.796171512,0.113863106,1.053365035,0.115590452,49.77088374,5.243803043,42.66 E,7.2394866,111.5562859,12.10345848,129.3153576,14.00681919,0.625897006,0.066747869,0.49 E,0.124051882,1.395630464,0.193280811,1.793562561,0.209452701
LUNCHEON MEATS (CANNED & COLD CUTS),32,Male,31-50 Years,2005,24.75777173,16.22006242,2.221430215,F,F,60,4.601656994,98.21505164,8.558451095,0.193525887,0.030458796,F,F,0.746200297,0.072799784,1.056044371,0.116281794,65.51503339,7.478704452,55.03 E,9.415739498,119.8 E,22.21857972,F,F,0.781677322,0.106997892,0.597280297,0.078642039,1.4 E,0.280356511,F,F
LUNCHEON MEATS (CANNED & COLD CUTS),32,Male,51-70 Years,2151,23.51927537,15.43637001,1.57073512,F,F,60,4.407105233,98.4952946,9.037170636,0.181900758,0.018616505,F,F,0.740222086,0.105062909,1.169272815,0.125068933,65.63284696,4.763647348,56,5.907137676,120,18.02536363,163.24 E,28.19816466,0.773411405,0.057794754,0.592749645,0.075021544,1.634844616,0.183276769,1.998576062,0.251816876
LUNCHEON MEATS (CANNED & COLD CUTS),32,Male,71+ Years,1180,23.21849251,12.28278345,1.874932334,F,F,45 E,7.877810813,60,6.013055007,0.15334398,0.022257387,F,F,0.59 E,0.098609499,0.867290729,0.087907532,52.90086529,6.630772308,35.56 E,6.675389364,89.67 E,18.72031119,151.91 E,37.9594214,0.660439002,0.076351094,0.461005904,0.066787904,1.23 E,0.268088394,1.880190458,0.276089841
LUNCHEON MEATS (CANNED & COLD CUTS),32,Male,19+ Years,6193,25.41941866,15.45114773,1.086471298,F,F,60,1.553454841,90,5.031313301,0.186156279,0.014355455,F,F,0.73805252,0.051692832,1.058436375,0.061869109,60.78481941,3.523880702,48,4.336894074,120,5.909168184,159.1601813,18.34692579,0.732338851,0.048183877,0.581614248,0.0546479,1.441557366,0.123695539,1.892754122,0.193245504
LUNCHEON MEATS (CANNED & COLD CUTS),32,Female,9-13 Years,939,28.05403969,13.31729897,1.375135025,F,F,55.90390403,7.577101167,71.85885045,6.459492947,0.33424258,0.03711909,F,F,1.219131865,0.183324818,2.204097784,0.298100582,47.47016514,3.678793349,30 E,5.911402768,88.92954698,9.933952501,125.98 E,21.01710095,1.191424063,0.107349288,0.781356001,0.111188131,2.414936167,0.146293635,2.96 E,0.684851598
LUNCHEON MEATS (CANNED & COLD CUTS),32,Female,14-18 Years,990,20.75357066,9.083938522,1.120558551,F,F,38.21 E,11.25085774,60.08434664,3.460830656,0.151548927,0.018762067,F,F,0.58 E,0.183576778,1.040879812,0.070775308,43.77048494,3.423018675,F,F,79.01112995,7.581081089,96.49 E,17.20226174,0.730230619,0.059390543,0.55 E,0.149020457,1.357496155,0.077170143,1.53 E,0.264953606
LUNCHEON MEATS (CANNED & COLD CUTS),32,Female,19-30 Years,992,13.53904308,6.39 E,1.304825995,F,F,F,F,48.33 E,10.79236205,0.1 E,0.022522786,F,F,F,F,F,F,47.2012325,5.184698507,39.8 E,7.077984733,89.8 E,15.54778934,120 E,23.96260665,0.735323382,0.10369449,0.465116279,0.071852643,1.59 E,0.345193556,2.15 E,0.57967036
LUNCHEON MEATS (CANNED & COLD CUTS),32,Female,31-50 Years,2384,14.60717363,6.432020961,0.807425286,F,F,F,F,53.07 E,9.175590065,0.097857536,0.013364195,F,F,F,F,0.75 E,0.144878001,44.03330256,3.542625763,30,4.443155207,89.87818103,6.956036165,104.998313,12.32931818,0.66992793,0.060014051,0.476840817,0.060133789,1.428344961,0.102587958,1.629192295,0.164358046
