Food-Group-Name, Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
  SUGARS -  SYRUPS AND PRESERVES,41,Female,71+ Years,1448,71.15539846,14.73570048,0.894868394,7.053812477,0.894868394,39.99825882,2.142734732,56.6576797,3.639417921,0.227020183,0.014053121,0.116192298,0.012399653,0.607912132,0.044914124,0.930256832,0.062850966,20.70918131,1.103433362,13.72154304,0.865567485,48.18697384,3.982658023,62.69887225,5.081980269,0.319048432,0.017352758,0.202523858,0.014819632,0.782580301,0.07804176,1.023437461,0.088309026
  SUGARS -  SYRUPS AND PRESERVES,41,Female,19+ Years,7138,70.22811132,15.37281964,0.519860004,7.000274485,0.519860004,39.97113371,1.166871629,59.36542966,3.003782405,0.231173125,0.00794422,0.104630553,0.006455626,0.6121033,0.028584019,0.878338176,0.039673483,21.88983778,0.643493639,14.09902598,0.571786509,49.47185052,1.868760496,70.83553739,3.83102815,0.329174629,0.009979042,0.200442049,0.007080128,0.747040257,0.029398136,1.04622893,0.060528605
    SUGARS (WHITE AND BROWN) ,41A,Both,All ages,19670,61.82297261,8.892310876,0.207617714,2.588265086,0.207617714,25.14171683,0.730526782,35.8977878,1.182395245,0.139793812,0.003248939,0.040164507,0.003166331,0.392608537,0.009712491,0.572915255,0.014076969,14.38350584,0.294757321,9.062650001,0.281781401,32.99718896,0.879024778,44.53111312,1.247148147,0.225790684,0.004719306,0.13800788,0.003730243,0.510115215,0.014730423,0.713296154,0.016172602
    SUGARS (WHITE AND BROWN) ,41A,Both,1-3 Years,1288,45.59728362,2.62538555,0.244927429,F,F,9.127436106,0.903721801,14.40744572,1.51592862,0.187876451,0.017227657,F,F,0.590152763,0.082775419,1.019715589,0.146993857,5.75776744,0.478219722,3.010365201,0.453837139,15.40321661,1.449896859,18.92877604,2.60334781,0.397230653,0.03203409,0.234369522,0.033320313,1.051370225,0.145984541,1.41031886,0.123812182
    SUGARS (WHITE AND BROWN) ,41A,Both,4-8 Years,1199,57.62397269,5.612658919,0.540663413,F,F,16.49345828,1.981561817,28.4021532,3.036601349,0.247845502,0.024407236,F,F,0.716133961,0.067545906,1.239119383,0.201406644,9.740145738,0.872990642,5.521031295,0.528371252,25.76723839,3.186410241,33.7659833,3.269253249,0.430108323,0.03941039,0.237280009,0.025533166,1.12775,0.187855346,1.637129422,0.169663371
    SUGARS (WHITE AND BROWN) ,41A,Both,9-13 Years,1962,61.77347736,7.054473743,0.420203127,0.98 E,0.420203127,22.13175015,1.524366744,30.19112244,1.333092434,0.176085224,0.011569548,0.02 E,0.00446396,0.517230885,0.039041753,0.760454134,0.04642271,11.41990713,0.592378676,6.040407934,0.760876403,29.18873857,1.479001101,35.0011835,2.068003557,0.285049882,0.016595531,0.150262284,0.014118868,0.68646939,0.045533878,0.907218252,0.055567195
    SUGARS (WHITE AND BROWN) ,41A,Both,14-18 Years,1890,58.39420212,8.411112644,0.582364855,1.16 E,0.582364855,25.0042698,1.737555789,35.51767315,1.530062059,0.133962714,0.009223865,F,F,0.413650028,0.025654529,0.561486751,0.033219702,14.40402016,0.861664288,8.737677367,0.533306854,33.96301841,1.662470176,42.6339179,2.853500282,0.229410985,0.013513044,0.135793842,0.010197155,0.514919539,0.030945065,0.702861889,0.042311948
    SUGARS (WHITE AND BROWN) ,41A,Both,19-30 Years,1849,67.39066004,11.12799254,0.750624429,4.14 E,0.750624429,30.55104933,2.099886286,43.05516332,3.789745906,0.156575389,0.01119398,0.061900789,0.010303847,0.425385505,0.039539776,0.596129814,0.056165321,16.51266293,1.031695003,10.4062655,1.016774033,37.98284249,3.6416015,50.71985354,4.034528532,0.232339896,0.0155434,0.152806154,0.0099919,0.515120294,0.04855048,0.710725247,0.050120061
    SUGARS (WHITE AND BROWN) ,41A,Both,31-50 Years,4389,63.3045748,9.418114951,0.384620671,3.40400208,0.384620671,26.2191741,1.231712117,38.36441811,1.614844346,0.124752687,0.005263674,0.045592851,0.005817871,0.349573797,0.017588052,0.516755411,0.033574838,14.87746341,0.513741697,9.067070137,0.673154337,34.76059664,1.67258784,45.51752983,2.134799566,0.197067411,0.007032887,0.127967171,0.006148036,0.449924036,0.018211985,0.616480329,0.024599509
    SUGARS (WHITE AND BROWN) ,41A,Both,51-70 Years,4465,61.34331759,9.155060757,0.379581296,2.997819722,0.379581296,25.13797221,0.98743939,35.07845711,1.692849507,0.121467713,0.005563349,0.039940968,0.005922802,0.338083161,0.017597891,0.475821645,0.024428886,14.92430002,0.535594522,9.804053978,0.566191094,33.19661954,1.514095418,44.67496593,2.596083562,0.198012951,0.007996509,0.124645591,0.00692788,0.442917956,0.018129549,0.579318575,0.035661528
