Food-Group-Name, Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
CITRUS FRUITS (ORANGES- GRAPEFRUITS- LEMONS- ETC) ,40A,Female,19+ Years,7138,19.75863699,22.15336591,1.307621729,F,F,95.66290641,11.25068986,144.2681247,8.269525779,0.338051041,0.022229387,F,F,1.416640578,0.113529217,2.219645575,0.102874945,112.1199095,4.619067636,95.75032476,11.92105785,221.9773798,18.78596787,302.738353,35.43955925,1.710902636,0.082509261,1.464546576,0.097289961,3.309550001,0.287944901,4.539269938,0.609131498
APPLE ,40B,Both,All ages,19670,25.38866512,40.89615054,1.31598113,F,F,181.5715087,0.428491337,181.9959848,9.612666487,0.786966503,0.024571088,F,F,2.776645146,0.065868029,4.106357959,0.15943664,161.0803496,3.13148005,181.3427727,0.65722731,268.4423084,20.02501166,363.4329817,0.805261302,3.105340632,0.068338102,2.394387657,0.037216721,6.200428927,0.20876836,8.877919755,0.336658231
APPLE ,40B,Both,1-3 Years,1288,42.4079943,56.78667669,5.643666332,F,F,180.7546942,8.837708285,222.1637942,34.6490613,3.887577068,0.348982266,F,F,11.88147539,0.527398081,14.98951893,0.849900927,133.9055941,9.889087417,111.1522186,8.592022317,252.06 E,42.95114227,328.5095838,40.83840241,9.211876741,0.676342155,7.789943502,0.38615899,15.67523887,0.991070026,18.51843474,2.614651397
APPLE ,40B,Both,4-8 Years,1199,35.10144259,58.34019518,4.564586027,F,F,181.9190058,15.41475371,260.9321549,25.45472491,2.59976786,0.200275984,F,F,9.225098286,0.520815535,11.21725381,0.736720822,166.2045514,7.864421517,180.3482665,9.61564036,272.750752,24.16060166,349.759385,30.99155456,7.406441639,0.372708689,7.018376322,0.488593344,13.09315637,1.151294621,16.7915181,1.954799374
APPLE ,40B,Both,9-13 Years,1962,31.61211789,53.12793783,3.308494196,F,F,181.7281845,0.271815462,222.8805087,19.43115676,1.294232623,0.080058857,F,F,4.625464282,0.211203689,6.066571411,0.198775209,168.0619376,5.672879476,181.3246475,2.807278752,270.8295196,39.03398432,363.515319,13.65512834,4.094102861,0.145921652,3.732575456,0.115135205,6.670597727,0.257943689,8.767473302,0.932977491
APPLE ,40B,Both,14-18 Years,1890,26.97447382,49.66740394,3.715012757,F,F,178.3845381,4.254498192,221.9886172,21.51973724,0.795512736,0.06123091,F,F,3.128976225,0.137437849,3.955580889,0.4022762,184.1274246,7.554763304,174.1967303,7.803269699,350.9213726,44.55697252,360.8650098,8.881404324,2.949131617,0.132353312,2.868849513,0.096631047,5.265579119,0.430486184,6.06165292,0.465176879
APPLE ,40B,Both,19-30 Years,1849,18.1931646,29.20238416,3.956982468,F,F,164.495088,26.64312532,176.8980153,6.084774239,0.42272081,0.055532323,F,F,2.1285737,0.325552393,2.966900587,0.2607429,160.5129443,15.67391453,166.7360928,15.49132352,239.15 E,72.64053135,345.07 E,88.2181322,2.323514456,0.209527275,2.309635795,0.19852918,4.248502181,0.4263963,4.684835255,0.731382967
APPLE ,40B,Both,31-50 Years,4389,23.8065578,39.4142222,2.479784061,F,F,176.95844,5.041559958,181.4157835,6.878654187,0.524105691,0.032065332,F,F,2.362140708,0.086939267,3.06828891,0.144407618,165.5603574,6.150050636,175.2617265,6.738273519,337.91 E,58.38701416,358.574139,5.872721777,2.201518151,0.078158814,2.13472715,0.066125766,3.789415177,0.254923225,4.660563826,0.164283289
APPLE ,40B,Both,51-70 Years,4465,25.06106913,41.52725146,2.651534956,F,F,180.6788653,1.321134668,209.3998654,18.36405065,0.55881473,0.034669919,F,F,2.393671698,0.066593231,3.136507264,0.105279662,165.7042293,6.221368314,179.9622485,2.037751548,260.3113743,40.42927004,360.430063,23.48195282,2.229812015,0.081267453,2.163758712,0.069153953,3.852475074,0.281641785,4.938856044,0.300404981
APPLE ,40B,Both,71+ Years,2628,25.71689899,33.03143637,2.296550772,F,F,179.9470681,9.426485698,181.5504324,1.276894991,0.460377666,0.032583517,F,F,2.244935696,0.100454109,2.690366333,0.09080787,128.4425326,5.195873693,139.7011724,14.82611954,222.2512007,11.74721636,256.6327069,18.35375037,1.790175658,0.07941788,1.813215081,0.118064691,3.149986786,0.122989497,3.647548094,0.292007645
APPLE ,40B,Both,1-18 Years,6339,33.05479808,54.20277596,2.057736423,F,F,181.7937909,0.206209121,227.1253973,11.07117014,1.924734983,0.082633875,F,F,6.898106684,0.306309887,9.820473794,0.406880987,163.978542,3.972890583,181.2709334,3.436364586,279.6550693,19.28107973,363.3265096,3.726627105,5.848487731,0.195988958,4.548107469,0.195539192,11.50431507,0.397597087,14.26400908,0.855752748
APPLE ,40B,Both,19+ Years,13331,23.50579179,37.62791998,1.51555819,F,F,180.5222626,1.477737364,181.8289128,1.924537393,0.510843973,0.020237036,F,F,2.32663855,0.049323701,3.003367885,0.081486916,160.0793554,3.869305254,180.0641783,1.935821707,254.4129595,30.27733024,358.0081163,6.581530871,2.173268517,0.050586026,2.13764009,0.043573046,3.794827119,0.154823851,4.755476671,0.186820631
APPLE ,40B,Male,9-13 Years,1023,29.91646795,49.10669161,3.931367894,F,F,181.6850343,0.314965669,222.1811712,21.92279255,1.184648115,0.092033015,F,F,4.488041014,0.286967324,5.845455888,0.310584868,164.1460205,7.506133377,181.2873775,9.678673369,258.7875757,27.2588006,363.1756393,42.07921883,3.959852871,0.18527446,3.421767942,0.236619037,6.29124464,0.409664712,8.658862017,0.869114524
APPLE ,40B,Male,14-18 Years,900,25.37174517,48.15039878,5.251727267,F,F,178.1021798,6.308585217,220.05 E,53.80784359,0.735814736,0.082036026,F,F,2.959819512,0.144371696,3.69 E,0.760923149,189.779609,11.42574917,174.7187465,7.281253461,353.9452122,36.93980483,360.9032413,9.787014371,2.900134502,0.191768269,2.774749036,0.146896771,5.535966338,0.506230116,5.977670724,0.360054205
APPLE ,40B,Male,19-30 Years,857,17.71168504,29.53 E,5.577605331,F,F,166.49 E,35.97392003,176.596475,8.337463629,0.4 E,0.079553871,F,F,2.12 E,0.48544606,2.64948303,0.292084848,166.7024782,14.14085101,168.8029925,13.62920618,220.45 E,72.82788338,311.24 E,75.64047545,2.265252248,0.200753984,2.317167528,0.183607159,3.922498478,0.615825648,4.23823295,0.496282103
APPLE ,40B,Male,31-50 Years,2005,24.53532143,43.69751491,4.19323811,F,F,177.6575956,4.342404418,181.84 E,42.74928672,0.520646478,0.049884423,F,F,2.189729984,0.106411241,2.759059912,0.226301583,178.1004379,9.235857356,175.7627752,6.237224844,346.260622,38.7348094,359.9988357,19.9733218,2.122028358,0.108503508,2.060572276,0.064921919,3.695001981,0.409643941,4.441693613,0.238140536
APPLE ,40B,Male,51-70 Years,2151,24.81483234,42.27981465,4.295006075,F,F,180.728172,1.271828021,218.6860457,23.69331781,0.512340029,0.051011894,F,F,2.164296624,0.100993203,2.728177586,0.201109996,170.3812223,10.55450698,180.0562119,1.940617366,258.6 E,51.68294212,382.8111144,50.79455797,2.06465239,0.126803068,1.956874705,0.091513529,3.361843582,0.531899894,4.91539833,0.582509777
APPLE ,40B,Male,71+ Years,1180,28.22933223,37.92634973,3.740362675,F,F,179.9431548,2.882558475,181.8761435,19.8418967,0.472137586,0.044863867,F,F,2.306441823,0.13935955,2.585462336,0.074885579,134.3508569,6.900901629,178.3524342,25.38466558,236.8048219,16.28890407,257.1599774,14.64800444,1.672507102,0.086881524,1.879593048,0.149368983,2.884624996,0.139612457,3.255427527,0.169123078
