Food-Group-Name, Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
EGGS ,16,Male,31-50 Years,2005,52.4179829,31.95605238,3.606758197,F,F,99.9873636,5.368975659,143.5402339,18.18795757,0.383538039,0.045425316,F,F,1.190439317,0.079504159,1.677901186,0.214445529,60.96391088,6.123009425,42.03709209,5.616596751,136.0139046,17.43895949,170.8593081,22.14822145,0.731691716,0.077936373,0.461510886,0.070122138,1.619669453,0.203542161,2.12456406,0.309577809
EGGS ,16,Male,51-70 Years,2151,59.1989656,29.57972035,2.321138966,4.68 E,2.321138966,98.91492071,4.988229984,110.2536713,4.086120224,0.337504259,0.024587197,0.06 E,0.011555563,1.09173251,0.04391574,1.364745827,0.105671397,49.96661691,3.274920443,33.95604897,4.921894155,109.1065056,4.702217053,127.4249867,13.70405544,0.570118507,0.034029278,0.36 E,0.064188147,1.234158693,0.082967841,1.630694908,0.116367546
EGGS ,16,Male,71+ Years,1180,63.77371719,26.05399919,1.596327649,5.080718177,1.596327649,89.42220929,3.280775658,103.6140922,3.269845309,0.319973148,0.019610443,0.06 E,0.012921477,1.049422903,0.062085695,1.258405808,0.050733314,40.85381931,2.154369792,24.62 E,5.634737272,101.0939492,3.506541632,116.3899004,6.15128574,0.501732002,0.026278461,0.34 E,0.078214127,1.207296765,0.054183498,1.417109323,0.057527274
EGGS ,16,Male,19+ Years,6193,56.8553789,30.5564078,1.76539596,3.12 E,1.76539596,99.94509955,2.686547639,127.5637672,8.79038436,0.371559418,0.022081916,0.04 E,0.007671242,1.157577065,0.041281466,1.587342241,0.101132009,53.74409315,2.780016906,34.11815372,3.920207996,117.8130869,6.980405527,168.8080262,10.36082064,0.653516739,0.035219641,0.395672754,0.044324576,1.481895525,0.084241173,2.095468993,0.152895872
EGGS ,16,Female,9-13 Years,939,57.46031567,16.5062615,1.357746557,F,F,49.195989,3.027663308,78.65102784,7.308554007,0.41952447,0.036817968,0.05 E,0.015615277,1.48626584,0.154605077,1.830632779,0.157281362,28.7263676,1.998775066,14.39 E,3.040989923,74.37140005,9.470296223,89.80699314,8.892467013,0.730111669,0.053483882,0.37 E,0.067777422,1.800520816,0.133704006,2.204608345,0.224783332
EGGS ,16,Female,14-18 Years,990,55.7247174,15.56972731,1.370753721,1.65 E,1.370753721,49.97476462,6.590729559,85.21486091,8.138482589,0.265324262,0.026806506,0.03 E,0.007701193,0.846890561,0.070733951,1.401808911,0.185617691,27.94043297,1.991845449,11.37 E,2.807715475,78.58904703,7.913300849,98.20208549,4.92404196,0.476133885,0.04132477,0.2 E,0.046200076,1.304654065,0.183597813,1.67798903,0.244493674
EGGS ,16,Female,19-30 Years,992,59.10653139,21.07210477,2.006952244,F,F,74.33777057,10.26197174,101.5714129,6.747603832,0.331971092,0.031094842,F,F,1.105366159,0.122598365,1.583980223,0.155860722,35.65105966,3.029155739,F,F,99.33276024,7.985651288,108.7835473,4.39715234,0.561648746,0.046183783,F,F,1.390886379,0.142547458,1.8822302,0.122004127
EGGS ,16,Female,31-50 Years,2384,51.73862502,22.41828883,1.757792883,F,F,80.87340698,4.423081485,99.83584927,8.723139289,0.331164167,0.024786622,F,F,1.201376713,0.10629788,1.620753805,0.10527023,43.32988907,2.749377808,33.96909802,4.345465058,99.69957979,7.995097357,134.9251632,12.9020655,0.64007145,0.038603658,0.465462316,0.064526523,1.573275315,0.102473689,1.913196138,0.088358205
EGGS ,16,Female,51-70 Years,2314,56.2430026,18.12171595,1.290199947,F,F,53.84634624,4.783077863,89.42220929,5.484642243,0.263051179,0.018239675,F,F,0.850592656,0.043603801,1.310971463,0.10631161,32.22039207,2.002807419,15.75746292,1.958791141,85.95908923,5.685116602,107.7411304,5.520340947,0.467704722,0.027591224,0.227030288,0.0254333,1.203579559,0.106644373,1.513220409,0.070011665
EGGS ,16,Female,71+ Years,1448,58.53183109,20.5905879,1.176939671,3.45 E,1.176939671,62.94942702,6.798257692,89.41824204,3.443358313,0.3179782,0.018707461,0.05 E,0.011505934,0.983116099,0.06600877,1.386018564,0.059163358,35.17844481,1.720631921,21.85 E,4.254246386,87.18442838,3.972352376,100.9747658,4.578836816,0.543256881,0.027510123,0.333411271,0.053981649,1.36770327,0.094960403,1.569132503,0.074427404
